Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
10.64.69.20:55922-20.189.173.12:443,10.64.69.20,55922,20.189.173.12,443,6,2025-08-16T10:04:05.884732,269630,1,1,66,66,66,66,66.0,0,66,66,66.0,0,489.55976708823204,7.417572228609576,269630.000000,0,269630.000000,269630.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,3.708786114304788,3.708786114304788,66,66,66.0,0.0,0.0,0,0,0,0,2,0,0,0,1.0,66.0,66.0,66.0,20,0,0.0,0.0,0,0.0,0.0,1,66,1,66,0,0,0,32,269630.000000,0,269630.000000,269630.000000,0,0,0,0
10.64.69.76:52065-10.64.69.20:5000,10.64.69.76,52065,10.64.69.20,5000,6,2025-08-16T10:04:07.035939,32957,5,5,625,670,379,60,125.0,142.01408380861386,261,54,134.0,104.58728412192373,39293.625026549744,303.425675880693,3661.888888888888888888888889,6156.22157748656,16463.000000,1.000000,32875.000000,8218.750000,15220.137545918127,31011.000000,1.000000,32863.000000,8215.750000,7200.58017917075,16463.000000,2140.000000,1,2,0,0,100,100,151.7128379403465,151.7128379403465,54,379,129.5,117.67587310536987,13847.611111111113,2,2,0,3,9,0,0,0,1.0,129.5,125.0,134.0,100,379.0,0.2,11499.833115878266,248.0,0.4,15049.913523682373,5,625,5,670,65535,64240,4,20,3661.888888888888888888888889,6156.22157748656,16463.000000,1.000000,0,0,0,0
10.64.69.76:52066-10.64.69.20:5000,10.64.69.76,52066,10.64.69.20,5000,6,2025-08-16T10:04:07.035940,31040,5,5,614,755,368,60,122.8,137.0955870916347,361,54,151.0,136.8429757057336,44104.38144329897,322.16494845360825,3448.888888888888888888888889,6066.675396055991,16301.000000,0.000000,30811.000000,7702.750000,14190.657945164723,28948.000000,0.000000,30766.000000,7691.500000,7430.910644059717,16301.000000,1259.000000,1,2,0,0,100,100,161.08247422680412,161.08247422680412,54,368,136.9,129.98841828751085,16896.988888888885,2,2,0,3,9,0,0,0,1.0,136.9,122.8,151.0,100,368.0,0.2,11855.670103092783,290.5,0.4,18717.78350515464,5,614,5,755,65535,64240,4,20,3448.888888888888888888888889,6066.675396055991,16301.000000,0.000000,0,0,0,0
10.64.69.20:59606-192.168.0.207:5000,10.64.69.20,59606,192.168.0.207,5000,6,2025-08-16T10:04:02.360765,7170817,7,0,518,0,74,74,74.0,0.0,0,0,0,0,72.23723600811455,0.976178864974521,1195136.166666666666666666667,417554.51436305494,2047462.000000,1023444.000000,7170817.000000,1195136.166666666666666666667,417554.51436305494,2047462.000000,1023444.000000,0,0,0,0,0,0,0,0,0,140,0,0.976178864974521,0.0,74,74,74.0,0.0,0.0,0,7,0,0,0,0,0,0,0.0,74.0,74.0,0,140,0,0.0,0.0,0,0,0.0,7,518,0,0,64240,0,0,40,0,0,0,0,1195136.166666666666666666667,417554.51436305494,2047462.000000,1023444.000000
10.64.69.76:52068-10.64.69.20:5000,10.64.69.76,52068,10.64.69.20,5000,6,2025-08-16T10:04:12.107165,26353,5,5,614,758,368,60,122.8,137.0955870916347,364,54,151.6,137.9956521054196,52062.383789321895,379.46343869768145,2928.111111111111111111111111,4776.247597341569,11537.000000,0.000000,26329.000000,6582.250000,11772.091979904564,24222.000000,0.000000,26284.000000,6571.000000,5471.138577419999,11537.000000,1371.000000,1,2,0,0,100,100,189.73171934884073,189.73171934884073,54,368,137.2,130.56526677830092,17047.288888888892,2,2,0,3,9,0,0,0,1.0,137.2,122.8,151.6,100,368.0,0.2,13964.254544074678,292.0,0.4,22160.664819944595,5,614,5,758,65535,64240,4,20,2928.111111111111111111111111,4776.247597341569,11537.000000,0.000000,0,0,0,0
10.64.69.76:52069-10.64.69.20:5000,10.64.69.76,52069,10.64.69.20,5000,6,2025-08-16T10:04:12.107165,30820,5,5,625,670,379,60,125.0,142.01408380861386,261,54,134.0,104.58728412192373,42018.17001946788,324.4646333549643,3424.444444444444444444444444,5666.254563446455,13396.000000,0.000000,30754.000000,7688.500000,14520.007908629617,29449.000000,0.000000,30509.000000,7627.250000,6593.767732993532,13396.000000,1241.000000,1,2,0,0,100,100,162.23231667748215,162.23231667748215,54,379,129.5,117.67587310536987,13847.611111111113,2,2,0,3,9,0,0,0,1.0,129.5,125.0,134.0,100,379.0,0.2,12297.209604153148,248.0,0.4,16093.44581440623,5,625,5,670,65535,64240,4,20,3424.444444444444444444444444,5666.254563446455,13396.000000,0.000000,0,0,0,0
10.64.69.76:52075-10.64.69.20:5000,10.64.69.76,52075,10.64.69.20,5000,6,2025-08-16T10:04:17.106737,69421,6,6,674,812,368,60,112.33333333333333,125.27356731037345,364,54,135.33333333333334,129.6991390359499,21405.626539519744,172.8583569813169,6311.000000,13914.031795277744,42794.000000,0.000000,69404.000000,13880.800000,29178.901653420748,66056.000000,0.000000,69383.000000,13876.600000,18799.863744187085,42820.000000,360.000000,1,2,0,0,120,120,86.42917849065844,86.42917849065844,54,368,123.83333333333333,122.16370040633878,14923.969696969696,2,2,0,3,11,0,0,0,1.0,123.83333333333333,112.33333333333333,135.33333333333334,120,368.0,0.16666666666666666,5300.989614093718,292.0,0.3333333333333333,8412.440039757423,6,674,6,812,65535,64240,5,20,6311.000000,13914.031795277744,42794.000000,0.000000,0,0,0,0
10.64.69.76:52076-10.64.69.20:5000,10.64.69.76,52076,10.64.69.20,5000,6,2025-08-16T10:04:17.106738,45306,5,5,625,670,379,60,125.0,142.01408380861386,261,54,134.0,104.58728412192373,28583.410585794376,220.72131726482144,5034.000000,9206.445228751432,24090.000000,0.000000,45209.000000,11302.250000,21562.733536899566,43627.000000,0.000000,45078.000000,11269.500000,11537.996258738633,24090.000000,1287.000000,1,2,0,0,100,100,110.36065863241072,110.36065863241072,54,379,129.5,117.67587310536987,13847.611111111113,2,2,0,3,9,0,0,0,1.0,129.5,125.0,134.0,100,379.0,0.2,8365.337924336733,248.0,0.4,10947.777336335144,5,625,5,670,65535,64240,4,20,5034.000000,9206.445228751432,24090.000000,0.000000,0,0,0,0
10.64.69.20:37974-192.168.0.207:5000,10.64.69.20,37974,192.168.0.207,5000,6,2025-08-16T10:04:14.377188,7186518,7,0,518,0,74,74,74.0,0.0,0,0,0,0,72.0794131455595,0.974046123588642,1197753.000000,416542.57784144947,2047878.000000,1023474.000000,7186518.000000,1197753.000000,416542.57784144947,2047878.000000,1023474.000000,0,0,0,0,0,0,0,0,0,140,0,0.974046123588642,0.0,74,74,74.0,0.0,0.0,0,7,0,0,0,0,0,0,0.0,74.0,74.0,0,140,0,0.0,0.0,0,0,0.0,7,518,0,0,64240,0,0,40,0,0,0,0,1197753.000000,416542.57784144947,2047878.000000,1023474.000000
10.64.69.76:52080-10.64.69.20:5000,10.64.69.76,52080,10.64.69.20,5000,6,2025-08-16T10:04:22.110972,24695,5,5,614,757,368,60,122.8,137.0955870916347,363,54,151.4,137.61104606825717,55517.3111965985,404.94027130998177,2743.888888888888888888888889,4543.14817732276,10888.000000,0.000000,24645.000000,6161.250000,10658.646673788688,22043.000000,0.000000,24655.000000,6163.750000,5202.538699199331,10888.000000,811.000000,1,2,0,0,100,100,202.47013565499088,202.47013565499088,54,368,137.1,130.37250050869199,16996.988888888893,2,2,0,3,9,0,0,0,1.0,137.1,122.8,151.4,100,368.0,0.2,14901.801984207328,291.5,0.4,23608.017817371936,5,614,5,757,65535,64240,4,20,2743.888888888888888888888889,4543.14817732276,10888.000000,0.000000,0,0,0,0
